File,Statut,Score_risque,Date,Action_prise
8,Malveillant,0.559,2024-01-01 00:00,Bloqué
9,Malveillant,0.938,2024-01-01 01:00,Bloqué
25,Sain,0.158,2024-01-01 02:00,Bloqué
28,Sain,0.814,2024-01-01 03:00,Autorisé
29,Sain,0.953,2024-01-01 04:00,Autorisé
32,Sain,0.232,2024-01-01 05:00,Bloqué
36,Sain,0.004,2024-01-01 06:00,Bloqué
38,Malveillant,0.077,2024-01-01 07:00,Autorisé
40,Sain,0.361,2024-01-01 08:00,Bloqué
51,Sain,0.577,2024-01-01 09:00,Autorisé
52,Sain,0.507,2024-01-01 10:00,Autorisé
54,Sain,0.108,2024-01-01 11:00,Bloqué
55,Sain,0.436,2024-01-01 12:00,Bloqué
58,Malveillant,0.661,2024-01-01 13:00,Bloqué
62,Sain,0.156,2024-01-01 14:00,Bloqué
66,Sain,0.99,2024-01-01 15:00,Autorisé
71,Malveillant,0.576,2024-01-01 16:00,Bloqué
74,Sain,0.034,2024-01-01 17:00,Bloqué
76,Sain,0.328,2024-01-01 18:00,Bloqué
79,Malveillant,0.529,2024-01-01 19:00,Bloqué
83,Sain,0.917,2024-01-01 20:00,Autorisé
86,Sain,0.624,2024-01-01 21:00,Autorisé
87,Sain,0.247,2024-01-01 22:00,Bloqué
91,Malveillant,0.939,2024-01-01 23:00,Bloqué
95,Sain,0.576,2024-01-02 00:00,Autorisé
97,Malveillant,0.156,2024-01-02 01:00,Autorisé
99,Sain,0.969,2024-01-02 02:00,Autorisé
100,Sain,0.425,2024-01-02 03:00,Bloqué
